TheoryID,Name,Ascending Intervals,Descending Intervals,Tonic,Tuning,Culture,Country,Region,SocID,,Reference,RefID,Primary_source?,Reduced_scale,Notes
T0056,Tsinganikos,1;3;1;1;3;1;2,N/A,1,12-tet,Greek Folk,Greece,Western,Gre3,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0057,Periaiotikos,3;1;2;1;2;2;1,N/A,1,12-tet,Greek Folk,Greece,Western,Gre3,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0058,Sabach,2;1;1;3;1;2;2,N/A,1,12-tet,Greek Folk,Greece,Western,Gre3,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0059,Segiah,3;1;1;2;1;2;2,N/A,1,12-tet,Greek Folk,Greece,Western,Gre3,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0060,Pentatonic 1,2;2;3;2;3,N/A,1,12-tet;Just;Pythagorean,Western Classical,Many,Western,Wes1,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0061,Pentatonic 2,2;3;2;2;3,N/A,1,12-tet;Just;Pythagorean,Western Classical,Many,Western,Wes1,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0062,Pentatonic 3,2;3;2;3;2,N/A,1,12-tet;Just;Pythagorean,Western Classical,Many,Western,Wes1,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0063,Pentatonic 4,3;2;2;3;2,N/A,1,12-tet;Just;Pythagorean,Western Classical,Many,Western,Wes1,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0064,Pentatonic 5,3;2;3;2;2,N/A,1,12-tet;Just;Pythagorean,Western Classical,Many,Western,Wes1,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0065,Minor Blues,3;2;1;1;3;2,N/A,1,12-tet,Jazz,Many,Western,Jaz4,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0066,Major Blues,2;1;1;3;2;3,N/A,1,12-tet,Jazz,Many,Western,Jaz4,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0067,Bebop Dominant,2;2;1;2;2;1;1;1,N/A,1,12-tet,Jazz,Many,Western,Jaz4,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0068,Bebop Major,2;2;1;2;1;1;2;1,N/A,1,12-tet,Jazz,Many,Western,Jaz4,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0069,Bebop Minor,2;1;2;2;1;2;1;1,N/A,1,12-tet,Jazz,Many,Western,Jaz4,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
